fecha	predicciones
01/01/2017	2
02/01/2017	355
03/01/2017	537
04/01/2017	620
05/01/2017	638
06/01/2017	669
07/01/2017	200
08/01/2017	2
09/01/2017	397
10/01/2017	601
11/01/2017	691
12/01/2017	709
13/01/2017	745
14/01/2017	222
15/01/2017	2
16/01/2017	441
17/01/2017	668
18/01/2017	771
19/01/2017	791
20/01/2017	828
21/01/2017	247
22/01/2017	2
23/01/2017	491
24/01/2017	745
25/01/2017	857
26/01/2017	881
27/01/2017	922
28/01/2017	275
29/01/2017	3
30/01/2017	546
31/01/2017	827
01/02/2017	800
02/02/2017	823
03/02/2017	863
04/02/2017	258
05/02/2017	2
06/02/2017	512
07/02/2017	776
08/02/2017	894
09/02/2017	917
10/02/2017	962
11/02/2017	287
12/02/2017	3
13/02/2017	570
14/02/2017	862
15/02/2017	994
16/02/2017	1021
17/02/2017	1069
18/02/2017	318
19/02/2017	3
20/02/2017	632
21/02/2017	957
22/02/2017	1103
23/02/2017	1134
24/02/2017	1190
25/02/2017	354
26/02/2017	3
27/02/2017	704
28/02/2017	1066
01/03/2017	769
02/03/2017	789
03/03/2017	825
04/03/2017	245
05/03/2017	2
06/03/2017	488
07/03/2017	740
08/03/2017	852
09/03/2017	874
10/03/2017	915
11/03/2017	273
12/03/2017	3
13/03/2017	542
14/03/2017	822
15/03/2017	946
16/03/2017	974
17/03/2017	1024
18/03/2017	305
19/03/2017	3
20/03/2017	607
21/03/2017	919
22/03/2017	1060
23/03/2017	1086
24/03/2017	1139
25/03/2017	340
26/03/2017	3
27/03/2017	675
28/03/2017	1023
29/03/2017	1179
30/03/2017	1213
31/03/2017	1271
01/04/2017	251
02/04/2017	2
03/04/2017	499
04/04/2017	758
05/04/2017	873
06/04/2017	898
07/04/2017	940
08/04/2017	280
09/04/2017	3
10/04/2017	557
11/04/2017	843
12/04/2017	971
13/04/2017	998
14/04/2017	1045
15/04/2017	311
16/04/2017	3
17/04/2017	619
18/04/2017	939
19/04/2017	1083
20/04/2017	1111
21/04/2017	1163
22/04/2017	346
23/04/2017	3
24/04/2017	688
25/04/2017	1043
26/04/2017	1200
27/04/2017	1230
28/04/2017	1286
29/04/2017	383
30/04/2017	4
01/05/2017	437
02/05/2017	662
03/05/2017	763
04/05/2017	785
05/05/2017	820
06/05/2017	244
07/05/2017	2
08/05/2017	486
09/05/2017	736
10/05/2017	848
11/05/2017	872
12/05/2017	914
13/05/2017	273
14/05/2017	3
15/05/2017	542
16/05/2017	823
17/05/2017	949
18/05/2017	974
19/05/2017	1017
20/05/2017	304
21/05/2017	3
22/05/2017	604
23/05/2017	915
24/05/2017	1054
25/05/2017	1083
26/05/2017	1133
27/05/2017	338
28/05/2017	3
29/05/2017	671
30/05/2017	1017
31/05/2017	1171
01/06/2017	802
02/06/2017	841
03/06/2017	251
04/06/2017	2
05/06/2017	498
06/06/2017	755
07/06/2017	870
08/06/2017	893
09/06/2017	934
10/06/2017	278
11/06/2017	3
12/06/2017	553
13/06/2017	838
14/06/2017	965
15/06/2017	992
16/06/2017	1037
17/06/2017	309
18/06/2017	3
19/06/2017	613
20/06/2017	930
21/06/2017	1066
22/06/2017	1093
23/06/2017	1146
24/06/2017	342
25/06/2017	3
26/06/2017	680
27/06/2017	1031
28/06/2017	1186
29/06/2017	1219
30/06/2017	1275
01/07/2017	237
02/07/2017	2
03/07/2017	471
04/07/2017	714
05/07/2017	823
06/07/2017	844
07/07/2017	883
08/07/2017	263
09/07/2017	2
10/07/2017	522
11/07/2017	793
12/07/2017	914
13/07/2017	940
14/07/2017	985
15/07/2017	294
16/07/2017	3
17/07/2017	584
18/07/2017	885
19/07/2017	1021
20/07/2017	1049
21/07/2017	1099
22/07/2017	327
23/07/2017	3
24/07/2017	650
25/07/2017	985
26/07/2017	1135
27/07/2017	1166
28/07/2017	1223
29/07/2017	365
30/07/2017	3
31/07/2017	724
01/08/2017	689
02/08/2017	796
03/08/2017	818
04/08/2017	857
05/08/2017	255
06/08/2017	2
07/08/2017	507
08/08/2017	768
09/08/2017	884
10/08/2017	907
11/08/2017	951
12/08/2017	283
13/08/2017	3
14/08/2017	563
15/08/2017	855
16/08/2017	984
17/08/2017	1012
18/08/2017	1059
19/08/2017	315
20/08/2017	3
21/08/2017	626
22/08/2017	949
23/08/2017	1094
24/08/2017	1124
25/08/2017	1178
26/08/2017	352
27/08/2017	3
28/08/2017	700
29/08/2017	1060
30/08/2017	1221
31/08/2017	1255
01/09/2017	875
02/09/2017	261
03/09/2017	2
04/09/2017	519
05/09/2017	786
06/09/2017	906
