fecha	unidades
01/01/2018	337
02/01/2018	510
03/01/2018	590
04/01/2018	607
05/01/2018	637
06/01/2018	190
07/01/2018	2
08/01/2018	377
09/01/2018	571
10/01/2018	657
11/01/2018	676
12/01/2018	710
13/01/2018	212
14/01/2018	2
15/01/2018	421
16/01/2018	637
17/01/2018	734
18/01/2018	755
19/01/2018	791
20/01/2018	235
21/01/2018	2
22/01/2018	468
23/01/2018	709
24/01/2018	817
25/01/2018	842
26/01/2018	884
27/01/2018	263
28/01/2018	2
29/01/2018	522
30/01/2018	790
31/01/2018	910
01/02/2018	775
02/02/2018	813
03/02/2018	242
04/02/2018	2
05/02/2018	480
06/02/2018	728
07/02/2018	838
08/02/2018	862
09/02/2018	901
10/02/2018	267
11/02/2018	2
12/02/2018	532
13/02/2018	806
14/02/2018	929
15/02/2018	955
16/02/2018	1003
17/02/2018	299
18/02/2018	3
19/02/2018	594
20/02/2018	900
21/02/2018	1036
22/02/2018	1063
23/02/2018	1114
24/02/2018	333
25/02/2018	3
26/02/2018	661
27/02/2018	1001
28/02/2018	1153
01/03/2018	756
02/03/2018	791
03/03/2018	236
04/03/2018	2
05/03/2018	468
06/03/2018	711
07/03/2018	820
08/03/2018	842
09/03/2018	881
10/03/2018	262
11/03/2018	2
12/03/2018	522
13/03/2018	791
14/03/2018	912
15/03/2018	937
16/03/2018	981
17/03/2018	292
18/03/2018	3
19/03/2018	581
20/03/2018	880
21/03/2018	1013
22/03/2018	1042
23/03/2018	1091
24/03/2018	325
25/03/2018	3
26/03/2018	646
27/03/2018	982
28/03/2018	1135
29/03/2018	1166
30/03/2018	1221
31/03/2018	364
01/04/2018	2
02/04/2018	468
03/04/2018	708
04/04/2018	817
05/04/2018	839
06/04/2018	878
07/04/2018	262
08/04/2018	2
09/04/2018	520
10/04/2018	789
11/04/2018	910
12/04/2018	937
13/04/2018	983
14/04/2018	293
15/04/2018	3
16/04/2018	582
17/04/2018	881
18/04/2018	1015
19/04/2018	1044
20/04/2018	1092
21/04/2018	325
22/04/2018	3
23/04/2018	645
24/04/2018	975
25/04/2018	1125
26/04/2018	1152
27/04/2018	1207
28/04/2018	360
29/04/2018	3
30/04/2018	715
01/05/2018	633
02/05/2018	729
03/05/2018	748
04/05/2018	782
05/05/2018	233
06/05/2018	2
07/05/2018	463
08/05/2018	704
09/05/2018	808
10/05/2018	830
11/05/2018	872
12/05/2018	260
13/05/2018	2
14/05/2018	516
15/05/2018	782
16/05/2018	897
17/05/2018	923
18/05/2018	966
19/05/2018	287
20/05/2018	3
21/05/2018	570
22/05/2018	866
23/05/2018	1001
24/05/2018	1027
25/05/2018	1076
26/05/2018	320
27/05/2018	3
28/05/2018	636
29/05/2018	964
30/05/2018	1110
31/05/2018	1142
01/06/2018	764
02/06/2018	228
03/06/2018	2
04/06/2018	453
05/06/2018	686
06/06/2018	791
07/06/2018	815
08/06/2018	853
09/06/2018	254
10/06/2018	2
11/06/2018	504
12/06/2018	764
13/06/2018	880
14/06/2018	904
15/06/2018	947
16/06/2018	282
17/06/2018	3
18/06/2018	559
19/06/2018	846
20/06/2018	974
21/06/2018	1002
22/06/2018	1047
23/06/2018	313
24/06/2018	3
25/06/2018	621
26/06/2018	941
27/06/2018	1084
28/06/2018	1113
29/06/2018	1165
30/06/2018	347
