fecha,year,mes,dia,nombre_mes,nombre_dia,unidades,empleo,desempleo,dolar,minimo_mensual,inflacion,chevrolet,mazda,nissan,renault
2012-01-01,2012,01,1,Enero,Domingo,0,55.95,12.48,1942.70,566700.00,3.54,83,60,85,82
2012-01-02,2012,01,2,Enero,Lunes,188,55.95,12.48,1942.70,566700.00,3.54,83,60,85,82
2012-01-03,2012,01,3,Enero,Martes,482,55.95,12.48,1942.70,566700.00,3.54,83,60,85,82
2012-01-04,2012,01,4,Enero,Miércoles,927,55.95,12.48,1915.02,566700.00,3.54,83,60,85,82
2012-01-05,2012,01,5,Enero,Jueves,1159,55.95,12.48,1898.24,566700.00,3.54,83,60,85,82
2012-01-06,2012,01,6,Enero,Viernes,996,55.95,12.48,1884.44,566700.00,3.54,83,60,85,82
2012-01-07,2012,01,7,Enero,Sábado,243,55.95,12.48,1884.47,566700.00,3.54,83,60,85,82
2012-01-08,2012,01,8,Enero,Domingo,0,55.95,12.48,1884.47,566700.00,3.54,83,60,85,82
2012-01-09,2012,01,9,Enero,Lunes,0,55.95,12.48,1884.47,566700.00,3.54,83,60,85,82
2012-01-10,2012,01,10,Enero,Martes,697,55.95,12.48,1884.47,566700.00,3.54,83,60,85,82
2012-01-11,2012,01,11,Enero,Miércoles,956,55.95,12.48,1865.07,566700.00,3.54,83,60,85,82
2012-01-12,2012,01,12,Enero,Jueves,1001,55.95,12.48,1854.17,566700.00,3.54,83,60,85,82
2012-01-13,2012,01,13,Enero,Viernes,1170,55.95,12.48,1842.47,566700.00,3.54,83,60,85,82
2012-01-14,2012,01,14,Enero,Sábado,372,55.95,12.48,1841.31,566700.00,3.54,83,60,85,82
2012-01-15,2012,01,15,Enero,Domingo,1,55.95,12.48,1841.31,566700.00,3.54,83,60,85,82
2012-01-16,2012,01,16,Enero,Lunes,805,55.95,12.48,1841.31,566700.00,3.54,83,60,85,82
2012-01-17,2012,01,17,Enero,Martes,913,55.95,12.48,1841.31,566700.00,3.54,83,60,85,82
2012-01-18,2012,01,18,Enero,Miércoles,1049,55.95,12.48,1836.34,566700.00,3.54,83,60,85,82
2012-01-19,2012,01,19,Enero,Jueves,979,55.95,12.48,1827.24,566700.00,3.54,83,60,85,82
2012-01-20,2012,01,20,Enero,Viernes,1018,55.95,12.48,1821.86,566700.00,3.54,83,60,85,82
2012-01-21,2012,01,21,Enero,Sábado,312,55.95,12.48,1828.75,566700.00,3.54,83,60,85,82
2012-01-22,2012,01,22,Enero,Domingo,0,55.95,12.48,1828.75,566700.00,3.54,83,60,85,82
2012-01-23,2012,01,23,Enero,Lunes,802,55.95,12.48,1828.75,566700.00,3.54,83,60,85,82
2012-01-24,2012,01,24,Enero,Martes,893,55.95,12.48,1811.55,566700.00,3.54,83,60,85,82
2012-01-25,2012,01,25,Enero,Miércoles,1030,55.95,12.48,1814.58,566700.00,3.54,83,60,85,82
2012-01-26,2012,01,26,Enero,Jueves,1108,55.95,12.48,1814.69,566700.00,3.54,83,60,85,82
2012-01-27,2012,01,27,Enero,Viernes,1049,55.95,12.48,1801.88,566700.00,3.54,83,60,85,82
2012-01-28,2012,01,28,Enero,Sábado,369,55.95,12.48,1810.55,566700.00,3.54,83,60,85,82
2012-01-29,2012,01,29,Enero,Domingo,2,55.95,12.48,1810.55,566700.00,3.54,83,60,85,82
2012-01-30,2012,01,30,Enero,Lunes,823,55.95,12.48,1810.55,566700.00,3.54,83,60,85,82
2012-01-31,2012,01,31,Enero,Martes,1046,55.95,12.48,1815.08,566700.00,3.54,83,60,85,82
2012-02-01,2012,02,1,Febrero,Miércoles,1142,56.73,11.87,1805.98,566700.00,3.55,70,49,63,79
2012-02-02,2012,02,2,Febrero,Jueves,1185,56.73,11.87,1797.68,566700.00,3.55,70,49,63,79
2012-02-03,2012,02,3,Febrero,Viernes,1295,56.73,11.87,1795.55,566700.00,3.55,70,49,63,79
2012-02-04,2012,02,4,Febrero,Sábado,344,56.73,11.87,1784.77,566700.00,3.55,70,49,63,79
2012-02-05,2012,02,5,Febrero,Domingo,0,56.73,11.87,1784.77,566700.00,3.55,70,49,63,79
2012-02-06,2012,02,6,Febrero,Lunes,853,56.73,11.87,1784.77,566700.00,3.55,70,49,63,79
2012-02-07,2012,02,7,Febrero,Martes,1170,56.73,11.87,1787.96,566700.00,3.55,70,49,63,79
2012-02-08,2012,02,8,Febrero,Miércoles,1177,56.73,11.87,1783.34,566700.00,3.55,70,49,63,79
2012-02-09,2012,02,9,Febrero,Jueves,1182,56.73,11.87,1778.90,566700.00,3.55,70,49,63,79
2012-02-10,2012,02,10,Febrero,Viernes,1191,56.73,11.87,1774.96,566700.00,3.55,70,49,63,79
2012-02-11,2012,02,11,Febrero,Sábado,411,56.73,11.87,1785.59,566700.00,3.55,70,49,63,79
2012-02-12,2012,02,12,Febrero,Domingo,1,56.73,11.87,1785.59,566700.00,3.55,70,49,63,79
2012-02-13,2012,02,13,Febrero,Lunes,881,56.73,11.87,1785.59,566700.00,3.55,70,49,63,79
2012-02-14,2012,02,14,Febrero,Martes,1120,56.73,11.87,1778.12,566700.00,3.55,70,49,63,79
2012-02-15,2012,02,15,Febrero,Miércoles,1126,56.73,11.87,1785.24,566700.00,3.55,70,49,63,79
2012-02-16,2012,02,16,Febrero,Jueves,1098,56.73,11.87,1791.29,566700.00,3.55,70,49,63,79
2012-02-17,2012,02,17,Febrero,Viernes,1243,56.73,11.87,1792.92,566700.00,3.55,70,49,63,79
2012-02-18,2012,02,18,Febrero,Sábado,309,56.73,11.87,1779.81,566700.00,3.55,70,49,63,79
2012-02-19,2012,02,19,Febrero,Domingo,0,56.73,11.87,1779.81,566700.00,3.55,70,49,63,79
2012-02-20,2012,02,20,Febrero,Lunes,733,56.73,11.87,1779.81,566700.00,3.55,70,49,63,79
2012-02-21,2012,02,21,Febrero,Martes,994,56.73,11.87,1779.81,566700.00,3.55,70,49,63,79
2012-02-22,2012,02,22,Febrero,Miércoles,1186,56.73,11.87,1777.59,566700.00,3.55,70,49,63,79
2012-02-23,2012,02,23,Febrero,Jueves,1247,56.73,11.87,1781.57,566700.00,3.55,70,49,63,79
2012-02-24,2012,02,24,Febrero,Viernes,1315,56.73,11.87,1776.11,566700.00,3.55,70,49,63,79
2012-02-25,2012,02,25,Febrero,Sábado,386,56.73,11.87,1772.42,566700.00,3.55,70,49,63,79
2012-02-26,2012,02,26,Febrero,Domingo,0,56.73,11.87,1772.42,566700.00,3.55,70,49,63,79
2012-02-27,2012,02,27,Febrero,Lunes,855,56.73,11.87,1772.42,566700.00,3.55,70,49,63,79
2012-02-28,2012,02,28,Febrero,Martes,1239,56.73,11.87,1777.27,566700.00,3.55,70,49,63,79
2012-02-29,2012,02,29,Febrero,Miércoles,1157,56.73,11.87,1767.83,566700.00,3.55,70,49,63,79
2012-03-01,2012,03,1,Marzo,Jueves,1201,57.52,10.36,1766.85,566700.00,3.40,62,50,66,72
2012-03-02,2012,03,2,Marzo,Viernes,1342,57.52,10.36,1770.70,566700.00,3.40,62,50,66,72
2012-03-03,2012,03,3,Marzo,Sábado,358,57.52,10.36,1775.69,566700.00,3.40,62,50,66,72
2012-03-04,2012,03,4,Marzo,Domingo,0,57.52,10.36,1775.69,566700.00,3.40,62,50,66,72
2012-03-05,2012,03,5,Marzo,Lunes,886,57.52,10.36,1775.69,566700.00,3.40,62,50,66,72
2012-03-06,2012,03,6,Marzo,Martes,1209,57.52,10.36,1774.03,566700.00,3.40,62,50,66,72
2012-03-07,2012,03,7,Marzo,Miércoles,1553,57.52,10.36,1779.32,566700.00,3.40,62,50,66,72
2012-03-08,2012,03,8,Marzo,Jueves,1340,57.52,10.36,1773.88,566700.00,3.40,62,50,66,72
2012-03-09,2012,03,9,Marzo,Viernes,1279,57.52,10.36,1765.06,566700.00,3.40,62,50,66,72
2012-03-10,2012,03,10,Marzo,Sábado,489,57.52,10.36,1762.08,566700.00,3.40,62,50,66,72
2012-03-11,2012,03,11,Marzo,Domingo,1,57.52,10.36,1762.08,566700.00,3.40,62,50,66,72
2012-03-12,2012,03,12,Marzo,Lunes,971,57.52,10.36,1762.08,566700.00,3.40,62,50,66,72
2012-03-13,2012,03,13,Marzo,Martes,1305,57.52,10.36,1766.10,566700.00,3.40,62,50,66,72
2012-03-14,2012,03,14,Marzo,Miércoles,1366,57.52,10.36,1760.77,566700.00,3.40,62,50,66,72
2012-03-15,2012,03,15,Marzo,Jueves,1357,57.52,10.36,1761.04,566700.00,3.40,62,50,66,72
2012-03-16,2012,03,16,Marzo,Viernes,1461,57.52,10.36,1761.02,566700.00,3.40,62,50,66,72
2012-03-17,2012,03,17,Marzo,Sábado,339,57.52,10.36,1758.38,566700.00,3.40,62,50,66,72
2012-03-18,2012,03,18,Marzo,Domingo,0,57.52,10.36,1758.38,566700.00,3.40,62,50,66,72
2012-03-19,2012,03,19,Marzo,Lunes,0,57.52,10.36,1758.38,566700.00,3.40,62,50,66,72
2012-03-20,2012,03,20,Marzo,Martes,937,57.52,10.36,1758.38,566700.00,3.40,62,50,66,72
2012-03-21,2012,03,21,Marzo,Miércoles,1247,57.52,10.36,1759.78,566700.00,3.40,62,50,66,72
2012-03-22,2012,03,22,Marzo,Jueves,1332,57.52,10.36,1758.03,566700.00,3.40,62,50,66,72
2012-03-23,2012,03,23,Marzo,Viernes,1479,57.52,10.36,1761.87,566700.00,3.40,62,50,66,72
2012-03-24,2012,03,24,Marzo,Sábado,139,57.52,10.36,1760.17,566700.00,3.40,62,50,66,72
2012-03-25,2012,03,25,Marzo,Domingo,32,57.52,10.36,1760.17,566700.00,3.40,62,50,66,72
2012-03-26,2012,03,26,Marzo,Lunes,1113,57.52,10.36,1760.17,566700.00,3.40,62,50,66,72
2012-03-27,2012,03,27,Marzo,Martes,1163,57.52,10.36,1759.58,566700.00,3.40,62,50,66,72
2012-03-28,2012,03,28,Marzo,Miércoles,1469,57.52,10.36,1762.93,566700.00,3.40,62,50,66,72
2012-03-29,2012,03,29,Marzo,Jueves,1559,57.52,10.36,1771.25,566700.00,3.40,62,50,66,72
2012-03-30,2012,03,30,Marzo,Viernes,1805,57.52,10.36,1784.66,566700.00,3.40,62,50,66,72
2012-03-31,2012,03,31,Marzo,Sábado,485,57.52,10.36,1792.07,566700.00,3.40,62,50,66,72
2012-04-01,2012,04,1,Abril,Domingo,1,57.48,10.86,1792.07,566700.00,3.43,69,50,58,78
2012-04-02,2012,04,2,Abril,Lunes,1128,57.48,10.86,1792.07,566700.00,3.43,69,50,58,78
2012-04-03,2012,04,3,Abril,Martes,1589,57.48,10.86,1779.13,566700.00,3.43,69,50,58,78
2012-04-04,2012,04,4,Abril,Miércoles,1182,57.48,10.86,1767.84,566700.00,3.43,69,50,58,78
2012-04-05,2012,04,5,Abril,Jueves,1,57.48,10.86,1772.58,566700.00,3.43,69,50,58,78
2012-04-06,2012,04,6,Abril,Viernes,0,57.48,10.86,1772.58,566700.00,3.43,69,50,58,78
2012-04-07,2012,04,7,Abril,Sábado,1,57.48,10.86,1772.58,566700.00,3.43,69,50,58,78
