fecha;unidades
01/01/2012;2
02/01/2012;434
03/01/2012;658
04/01/2012;760
05/01/2012;782
06/01/2012;820
07/01/2012;244
08/01/2012;2
09/01/2012;485
10/01/2012;736
11/01/2012;849
12/01/2012;873
13/01/2012;915
14/01/2012;273
15/01/2012;3
16/01/2012;542
17/01/2012;821
18/01/2012;946
19/01/2012;973
20/01/2012;1019
21/01/2012;304
22/01/2012;3
23/01/2012;603
24/01/2012;915
25/01/2012;1055
26/01/2012;1083
27/01/2012;1136
28/01/2012;338
29/01/2012;3
30/01/2012;672
31/01/2012;1018
01/02/2012;967
02/02/2012;994
03/02/2012;1041
04/02/2012;310
05/02/2012;3
06/02/2012;617
07/02/2012;935
08/02/2012;1077
09/02/2012;1107
10/02/2012;1160
11/02/2012;345
12/02/2012;3
13/02/2012;686
14/02/2012;1040
15/02/2012;1198
16/02/2012;1231
17/02/2012;1289
18/02/2012;384
19/02/2012;4
20/02/2012;764
21/02/2012;1157
22/02/2012;1334
23/02/2012;1370
24/02/2012;1435
25/02/2012;428
26/02/2012;4
27/02/2012;850
28/02/2012;1288
29/02/2012;1485
01/03/2012;971
02/03/2012;1017
03/03/2012;303
04/03/2012;3
05/03/2012;602
06/03/2012;912
07/03/2012;1051
08/03/2012;1080
09/03/2012;1132
10/03/2012;337
11/03/2012;3
12/03/2012;670
13/03/2012;1015
14/03/2012;1170
15/03/2012;1202
16/03/2012;1259
17/03/2012;375
18/03/2012;3
19/03/2012;746
20/03/2012;1130
21/03/2012;1302
22/03/2012;1338
23/03/2012;1401
24/03/2012;417
25/03/2012;4
26/03/2012;829
27/03/2012;1257
28/03/2012;1448
29/03/2012;1487
30/03/2012;1556
31/03/2012;463
01/04/2012;3
02/04/2012;557
03/04/2012;845
04/04/2012;974
05/04/2012;1001
06/04/2012;1048
07/04/2012;312
08/04/2012;3
09/04/2012;620
10/04/2012;940
11/04/2012;1082
12/04/2012;1112
13/04/2012;1165
14/04/2012;347
15/04/2012;3
16/04/2012;690
17/04/2012;1046
18/04/2012;1206
19/04/2012;1238
20/04/2012;1297
21/04/2012;387
22/04/2012;4
23/04/2012;768
24/04/2012;1164
25/04/2012;1342
26/04/2012;1379
27/04/2012;1444
28/04/2012;430
29/04/2012;4
30/04/2012;855
01/05/2012;804
02/05/2012;927
03/05/2012;952
04/05/2012;998
05/05/2012;297
06/05/2012;3
07/05/2012;591
08/05/2012;895
09/05/2012;1031
10/05/2012;1058
11/05/2012;1109
12/05/2012;330
13/05/2012;3
14/05/2012;657
15/05/2012;995
16/05/2012;1146
17/05/2012;1176
18/05/2012;1230
19/05/2012;366
20/05/2012;3
21/05/2012;728
22/05/2012;1103
23/05/2012;1270
24/05/2012;1303
25/05/2012;1365
26/05/2012;407
27/05/2012;4
28/05/2012;808
29/05/2012;1225
30/05/2012;1414
31/05/2012;1451
01/06/2012;979
02/06/2012;292
03/06/2012;3
04/06/2012;580
05/06/2012;880
06/06/2012;1015
07/06/2012;1044
08/06/2012;1094
09/06/2012;326
10/06/2012;3
11/06/2012;648
12/06/2012;981
13/06/2012;1131
14/06/2012;1161
15/06/2012;1216
16/06/2012;362
17/06/2012;3
18/06/2012;720
19/06/2012;1091
20/06/2012;1258
21/06/2012;1293
22/06/2012;1354
23/06/2012;403
24/06/2012;4
25/06/2012;801
26/06/2012;1212
27/06/2012;1397
28/06/2012;1436
29/06/2012;1503
30/06/2012;448
01/07/2012;3
02/07/2012;562
03/07/2012;852
04/07/2012;983
05/07/2012;1010
06/07/2012;1057
07/07/2012;315
08/07/2012;3
09/07/2012;626
10/07/2012;948
11/07/2012;1093
12/07/2012;1122
13/07/2012;1175
14/07/2012;350
15/07/2012;3
16/07/2012;696
17/07/2012;1055
18/07/2012;1216
19/07/2012;1249
20/07/2012;1309
21/07/2012;390
22/07/2012;4
23/07/2012;775
24/07/2012;1173
25/07/2012;1351
26/07/2012;1388
27/07/2012;1454
28/07/2012;433
29/07/2012;4
30/07/2012;861
31/07/2012;1305
01/08/2012;950
02/08/2012;977
03/08/2012;1022
04/08/2012;305
05/08/2012;3
06/08/2012;606
07/08/2012;918
08/08/2012;1058
09/08/2012;1086
10/08/2012;1138
11/08/2012;339
12/08/2012;3
13/08/2012;673
14/08/2012;1021
15/08/2012;1175
16/08/2012;1206
17/08/2012;1262
18/08/2012;376
19/08/2012;3
20/08/2012;748
21/08/2012;1133
22/08/2012;1306
23/08/2012;1342
24/08/2012;1406
25/08/2012;419
26/08/2012;4
27/08/2012;832
28/08/2012;1261
29/08/2012;1452
30/08/2012;1491
31/08/2012;1562
01/09/2012;304
02/09/2012;3
03/09/2012;605
04/09/2012;917
05/09/2012;1057
06/09/2012;1086
07/09/2012;1139
08/09/2012;339
09/09/2012;3
10/09/2012;674
11/09/2012;1022
12/09/2012;1178
13/09/2012;1210
14/09/2012;1267
15/09/2012;378
16/09/2012;3
17/09/2012;751
18/09/2012;1137
19/09/2012;1310
20/09/2012;1346
21/09/2012;1410
22/09/2012;420
23/09/2012;4
24/09/2012;835
25/09/2012;1265
26/09/2012;1458
27/09/2012;1497
28/09/2012;1568
29/09/2012;467
30/09/2012;4
01/10/2012;556
02/10/2012;843
03/10/2012;971
04/10/2012;997
05/10/2012;1045
06/10/2012;311
07/10/2012;3
08/10/2012;619
09/10/2012;938
10/10/2012;1080
11/10/2012;1110
12/10/2012;1162
13/10/2012;346
14/10/2012;3
15/10/2012;688
16/10/2012;1043
17/10/2012;1202
18/10/2012;1235
19/10/2012;1293
20/10/2012;385
21/10/2012;4
22/10/2012;766
23/10/2012;1160
24/10/2012;1335
25/10/2012;1372
26/10/2012;1436
27/10/2012;428
28/10/2012;4
29/10/2012;850
30/10/2012;1288
31/10/2012;1484
01/11/2012;938
02/11/2012;983
03/11/2012;293
04/11/2012;3
05/11/2012;582
06/11/2012;882
07/11/2012;1017
08/11/2012;1045
09/11/2012;1094
10/11/2012;326
11/11/2012;3
12/11/2012;648
13/11/2012;982
14/11/2012;1131
15/11/2012;1162
16/11/2012;1217
17/11/2012;363
18/11/2012;3
19/11/2012;720
20/11/2012;1092
21/11/2012;1259
22/11/2012;1293
23/11/2012;1354
24/11/2012;403
25/11/2012;4
26/11/2012;802
27/11/2012;1215
28/11/2012;1400
29/11/2012;1438
30/11/2012;1507
01/12/2012;407
02/12/2012;4
03/12/2012;808
04/12/2012;1225
05/12/2012;1412
06/12/2012;1450
07/12/2012;1520
08/12/2012;453
09/12/2012;4
10/12/2012;900
11/12/2012;1364
12/12/2012;1572
13/12/2012;1615
14/12/2012;1692
15/12/2012;504
16/12/2012;5
17/12/2012;1001
18/12/2012;1518
19/12/2012;1750
20/12/2012;1798
21/12/2012;1883
22/12/2012;561
23/12/2012;5
24/12/2012;1116
25/12/2012;1692
26/12/2012;1949
27/12/2012;2003
28/12/2012;2097
29/12/2012;625
30/12/2012;6
31/12/2012;1242
01/01/2013;670
02/01/2013;773
03/01/2013;794
04/01/2013;832
05/01/2013;248
06/01/2013;2
07/01/2013;492
08/01/2013;746
09/01/2013;859
10/01/2013;883
11/01/2013;925
12/01/2013;276
13/01/2013;3
14/01/2013;548
15/01/2013;830
16/01/2013;956
17/01/2013;982
18/01/2013;1029
19/01/2013;307
20/01/2013;3
21/01/2013;609
22/01/2013;923
23/01/2013;1063
24/01/2013;1092
25/01/2013;1143
26/01/2013;341
27/01/2013;3
28/01/2013;677
29/01/2013;1026
30/01/2013;1183
31/01/2013;1215
01/02/2013;1016
02/02/2013;303
03/02/2013;3
04/02/2013;602
05/02/2013;911
06/02/2013;1050
07/02/2013;1078
08/02/2013;1129
09/02/2013;336
10/02/2013;3
11/02/2013;669
12/02/2013;1014
13/02/2013;1168
14/02/2013;1201
15/02/2013;1257
16/02/2013;374
17/02/2013;3
18/02/2013;744
19/02/2013;1128
20/02/2013;1299
21/02/2013;1335
22/02/2013;1397
23/02/2013;416
24/02/2013;4
25/02/2013;827
26/02/2013;1253
27/02/2013;1442
28/02/2013;1482
01/03/2013;981
02/03/2013;292
03/03/2013;3
04/03/2013;581
05/03/2013;880
06/03/2013;1014
07/03/2013;1042
08/03/2013;1092
09/03/2013;325
10/03/2013;3
11/03/2013;647
12/03/2013;980
13/03/2013;1129
14/03/2013;1160
15/03/2013;1215
16/03/2013;362
17/03/2013;3
18/03/2013;719
19/03/2013;1090
20/03/2013;1256
21/03/2013;1290
22/03/2013;1349
23/03/2013;402
24/03/2013;4
25/03/2013;799
26/03/2013;1211
27/03/2013;1395
28/03/2013;1433
29/03/2013;1500
30/03/2013;447
31/03/2013;4
01/04/2013;553
02/04/2013;839
03/04/2013;967
04/04/2013;993
05/04/2013;1039
06/04/2013;310
07/04/2013;3
08/04/2013;615
09/04/2013;933
10/04/2013;1076
11/04/2013;1105
12/04/2013;1157
13/04/2013;345
14/04/2013;3
15/04/2013;685
16/04/2013;1037
17/04/2013;1195
18/04/2013;1227
19/04/2013;1285
20/04/2013;383
21/04/2013;4
22/04/2013;761
23/04/2013;1153
24/04/2013;1329
25/04/2013;1366
26/04/2013;1431
27/04/2013;426
28/04/2013;4
29/04/2013;847
30/04/2013;1284
01/05/2013;962
02/05/2013;988
03/05/2013;1034
04/05/2013;308
05/05/2013;3
06/05/2013;612
07/05/2013;928
08/05/2013;1070
09/05/2013;1099
10/05/2013;1150
11/05/2013;343
12/05/2013;3
13/05/2013;681
14/05/2013;1032
15/05/2013;1189
16/05/2013;1221
17/05/2013;1279
18/05/2013;381
19/05/2013;4
20/05/2013;757
21/05/2013;1148
22/05/2013;1322
23/05/2013;1358
24/05/2013;1421
25/05/2013;423
26/05/2013;4
27/05/2013;840
28/05/2013;1274
29/05/2013;1465
30/05/2013;1506
31/05/2013;1577
01/06/2013;282
02/06/2013;3
03/06/2013;561
04/06/2013;851
05/06/2013;981
06/06/2013;1008
07/06/2013;1055
08/06/2013;314
09/06/2013;3
10/06/2013;625
11/06/2013;947
12/06/2013;1091
13/06/2013;1121
14/06/2013;1174
15/06/2013;350
16/06/2013;3
17/06/2013;696
18/06/2013;1055
19/06/2013;1214
20/06/2013;1247
21/06/2013;1303
22/06/2013;388
23/06/2013;4
24/06/2013;771
25/06/2013;1168
26/06/2013;1348
27/06/2013;1385
28/06/2013;1451
29/06/2013;432
30/06/2013;4
01/07/2013;575
02/07/2013;871
03/07/2013;1005
04/07/2013;1032
05/07/2013;1081
06/07/2013;322
07/07/2013;3
08/07/2013;640
09/07/2013;969
10/07/2013;1118
11/07/2013;1148
12/07/2013;1203
13/07/2013;359
14/07/2013;3
15/07/2013;713
16/07/2013;1081
17/07/2013;1247
18/07/2013;1282
19/07/2013;1341
20/07/2013;400
21/07/2013;4
22/07/2013;794
23/07/2013;1204
24/07/2013;1387
25/07/2013;1424
26/07/2013;1492
27/07/2013;444
28/07/2013;4
29/07/2013;883
30/07/2013;1338
31/07/2013;1542
01/08/2013;989
02/08/2013;1035
03/08/2013;309
04/08/2013;3
05/08/2013;613
06/08/2013;930
07/08/2013;1072
08/08/2013;1101
09/08/2013;1153
10/08/2013;344
11/08/2013;3
12/08/2013;683
13/08/2013;1036
14/08/2013;1192
15/08/2013;1225
16/08/2013;1281
17/08/2013;382
18/08/2013;4
19/08/2013;758
20/08/2013;1149
21/08/2013;1323
22/08/2013;1358
23/08/2013;1423
24/08/2013;424
25/08/2013;4
26/08/2013;843
27/08/2013;1277
28/08/2013;1470
29/08/2013;1510
30/08/2013;1581
31/08/2013;471
01/09/2013;3
02/09/2013;623
03/09/2013;945
04/09/2013;1088
05/09/2013;1118
06/09/2013;1170
07/09/2013;349
08/09/2013;3
09/09/2013;693
10/09/2013;1050
11/09/2013;1211
12/09/2013;1245
13/09/2013;1305
14/09/2013;389
15/09/2013;4
16/09/2013;772
17/09/2013;1171
18/09/2013;1350
19/09/2013;1387
20/09/2013;1455
21/09/2013;433
22/09/2013;4
23/09/2013;861
24/09/2013;1305
25/09/2013;1504
26/09/2013;1545
27/09/2013;1617
28/09/2013;481
29/09/2013;4
30/09/2013;956
01/10/2013;883
02/10/2013;1019
03/10/2013;1047
04/10/2013;1096
05/10/2013;327
06/10/2013;3
07/10/2013;649
08/10/2013;984
09/10/2013;1134
10/10/2013;1164
11/10/2013;1220
12/10/2013;364
13/10/2013;3
14/10/2013;722
15/10/2013;1095
16/10/2013;1262
17/10/2013;1296
18/10/2013;1358
19/10/2013;405
20/10/2013;4
21/10/2013;804
22/10/2013;1218
23/10/2013;1404
24/10/2013;1442
25/10/2013;1510
26/10/2013;450
27/10/2013;4
28/10/2013;894
29/10/2013;1355
30/10/2013;1561
31/10/2013;1604
01/11/2013;1006
02/11/2013;300
03/11/2013;3
04/11/2013;595
05/11/2013;902
06/11/2013;1039
07/11/2013;1067
